(1, 'Kolkata Knight Riders', 'Mumbai Indians', '2008-04-29', 'Mumbai Indians', 'Unknown')
(2, 'Royal Challengers Bengaluru', 'Punjab Kings', '2008-05-05', 'Punjab Kings', 'Unknown')
(3, 'Punjab Kings', 'Kolkata Knight Riders', '2008-05-03', 'Punjab Kings', 'Unknown')
(4, 'Chennai Super Kings', 'Kolkata Knight Riders', '2008-04-26', 'Chennai Super Kings', 'Unknown')
(5, 'Royal Challengers Bengaluru', 'Kolkata Knight Riders', '2008-04-18', 'Kolkata Knight Riders', 'Unknown')
(6, 'Mumbai Indians', 'Rajasthan Royals', '2008-05-07', 'Mumbai Indians', 'Unknown')
(7, 'Kolkata Knight Riders', 'Rajasthan Royals', '2008-05-20', 'Rajasthan Royals', 'Unknown')
(8, 'Royal Challengers Bengaluru', 'Mumbai Indians', '2008-05-28', 'Mumbai Indians', 'Unknown')
(9, 'Deccan Chargers', 'Punjab Kings', '2008-05-01', 'Punjab Kings', 'Unknown')
(10, 'Rajasthan Royals', 'Punjab Kings', '2008-04-21', 'Rajasthan Royals', 'Unknown')
(11, 'Delhi Capitals', 'Mumbai Indians', '2008-05-24', 'Delhi Capitals', 'Unknown')
(12, 'Deccan Chargers', 'Rajasthan Royals', '2008-04-24', 'Rajasthan Royals', 'Unknown')
(13, 'Chennai Super Kings', 'Rajasthan Royals', '2008-06-01', 'Rajasthan Royals', 'Final')
(14, 'Rajasthan Royals', 'Deccan Chargers', '2008-05-09', 'Rajasthan Royals', 'Unknown')
(15, 'Delhi Capitals', 'Royal Challengers Bengaluru', '2008-04-30', 'Delhi Capitals', 'Unknown')
(16, 'Rajasthan Royals', 'Mumbai Indians', '2008-05-26', 'Rajasthan Royals', 'Unknown')
(17, 'Kolkata Knight Riders', 'Royal Challengers Bengaluru', '2008-05-08', 'Kolkata Knight Riders', 'Unknown')
(18, 'Deccan Chargers', 'Royal Challengers Bengaluru', '2008-05-25', 'Royal Challengers Bengaluru', 'Unknown')
(19, 'Deccan Chargers', 'Kolkata Knight Riders', '2008-05-11', 'Kolkata Knight Riders', 'Unknown')
(20, 'Delhi Capitals', 'Punjab Kings', '2008-05-17', 'Punjab Kings', 'Unknown')
(21, 'Punjab Kings', 'Rajasthan Royals', '2008-05-28', 'Punjab Kings', 'Unknown')
