(1, 'New Zealand', 'India', '2002-12-29', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(2, 'India', 'New Zealand', '2003-01-01', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(3, 'India', 'New Zealand', '2003-01-04', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(4, 'New Zealand', 'India', '2003-01-08', 'India', False, 'India tour of New Zealand', 'Unknown')
(5, 'India', 'New Zealand', '2003-01-14', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(6, 'Australia', 'West Indies', '2003-05-17', 'Australia', True, 'Australia tour of West Indies', 'Unknown')
(7, 'Australia', 'West Indies', '2003-05-30', 'West Indies', False, 'Australia tour of West Indies', 'Unknown')
(8, 'Australia', 'West Indies', '2003-06-01', 'West Indies', False, 'Australia tour of West Indies', 'Unknown')
(9, 'Sri Lanka', 'West Indies', '2003-06-07', 'Sri Lanka', True, 'Sri Lanka tour of West Indies', 'Unknown')
(10, 'Sri Lanka', 'West Indies', '2003-06-11', 'West Indies', False, 'Sri Lanka tour of West Indies', 'Unknown')
(11, 'Bangladesh', 'Australia', '2003-08-02', 'Australia', False, 'Bangladesh tour of Australia', 'Unknown')
(12, 'Bangladesh', 'Australia', '2003-08-03', 'Australia', False, 'Bangladesh tour of Australia', 'Unknown')
(13, 'Australia', 'Bangladesh', '2003-08-06', 'Australia', False, 'Bangladesh tour of Australia', 'Unknown')
(14, 'Pakistan', 'Bangladesh', '2003-09-09', 'Pakistan', False, 'Bangladesh tour of Pakistan', 'Unknown')
(15, 'Bangladesh', 'Pakistan', '2003-09-18', 'Pakistan', False, 'Bangladesh tour of Pakistan', 'Unknown')
(16, 'Pakistan', 'Bangladesh', '2003-09-21', 'Pakistan', False, 'Bangladesh tour of Pakistan', 'Unknown')
(17, 'Pakistan', 'South Africa', '2003-10-03', 'Pakistan', False, 'South Africa tour of Pakistan', 'Unknown')
(18, 'Pakistan', 'South Africa', '2003-10-05', 'Pakistan', False, 'South Africa tour of Pakistan', 'Unknown')
(19, 'Pakistan', 'South Africa', '2003-10-07', 'South Africa', True, 'South Africa tour of Pakistan', 'Unknown')
(20, 'Pakistan', 'South Africa', '2003-10-10', 'South Africa', False, 'South Africa tour of Pakistan', 'Unknown')
(21, 'Pakistan', 'South Africa', '2003-10-12', 'South Africa', False, 'South Africa tour of Pakistan', 'Unknown')
(22, 'Bangladesh', 'England', '2003-11-07', 'England', True, 'England tour of Bangladesh', 'Unknown')
(23, 'Bangladesh', 'England', '2003-11-10', 'England', True, 'England tour of Bangladesh', 'Unknown')
(24, 'Bangladesh', 'England', '2003-11-12', 'England', True, 'England tour of Bangladesh', 'Unknown')
(25, 'England', 'Sri Lanka', '2003-11-18', 'Sri Lanka', False, 'England tour of Sri Lanka', 'Unknown')
(26, 'West Indies', 'Zimbabwe', '2003-11-23', 'Zimbabwe', False, 'West Indies tour of Zimbabwe', 'Unknown')
(27, 'Zimbabwe', 'West Indies', '2003-11-26', 'Zimbabwe', False, 'West Indies tour of Zimbabwe', 'Unknown')
(28, 'New Zealand', 'Pakistan', '2003-11-29', 'Pakistan', False, 'New Zealand tour of Pakistan', 'Unknown')
(29, 'West Indies', 'Zimbabwe', '2003-11-29', 'West Indies', True, 'West Indies tour of Zimbabwe', 'Unknown')
(30, 'Zimbabwe', 'West Indies', '2003-11-30', 'West Indies', True, 'West Indies tour of Zimbabwe', 'Unknown')
(31, 'Pakistan', 'New Zealand', '2003-12-01', 'Pakistan', False, 'New Zealand tour of Pakistan', 'Unknown')
(32, 'New Zealand', 'Pakistan', '2003-12-05', 'Pakistan', False, 'New Zealand tour of Pakistan', 'Unknown')
(33, 'England', 'Pakistan', '2003-06-17', 'Pakistan', True, 'Pakistan tour of England and Scotland', 'Unknown')
(34, 'Pakistan', 'England', '2003-06-20', 'England', False, 'Pakistan tour of England and Scotland', 'Unknown')
(35, 'Pakistan', 'England', '2003-06-22', 'England', False, 'Pakistan tour of England and Scotland', 'Unknown')
(36, 'West Indies', 'South Africa', '2003-02-09', 'West Indies', True, 'ICC World Cup', 'Unknown')
(37, 'Zimbabwe', 'Namibia', '2003-02-10', 'Zimbabwe', False, 'ICC World Cup', 'Unknown')
(38, 'Sri Lanka', 'New Zealand', '2003-02-10', 'Sri Lanka', False, 'ICC World Cup', 'Unknown')
(39, 'Australia', 'Pakistan', '2003-02-11', 'Australia', False, 'ICC World Cup', 'Unknown')
(40, 'Canada', 'Bangladesh', '2003-02-11', 'Canada', False, 'ICC World Cup', 'Unknown')
(41, 'Kenya', 'South Africa', '2003-02-12', 'South Africa', False, 'ICC World Cup', 'Unknown')
(42, 'India', 'Netherlands', '2003-02-12', 'India', False, 'ICC World Cup', 'Unknown')
(43, 'New Zealand', 'West Indies', '2003-02-13', 'New Zealand', False, 'ICC World Cup', 'Unknown')
(44, 'India', 'Australia', '2003-02-15', 'Australia', False, 'ICC World Cup', 'Unknown')
(45, 'Canada', 'Kenya', '2003-02-15', 'Kenya', False, 'ICC World Cup', 'Unknown')
(46, 'Netherlands', 'England', '2003-02-16', 'England', False, 'ICC World Cup', 'Unknown')
(47, 'Pakistan', 'Namibia', '2003-02-16', 'Pakistan', False, 'ICC World Cup', 'Unknown')
(48, 'South Africa', 'New Zealand', '2003-02-16', 'New Zealand', True, 'ICC World Cup', 'Unknown')
(49, 'West Indies', 'Bangladesh', '2003-02-18', None, False, 'ICC World Cup', 'Unknown')
(50, 'India', 'Zimbabwe', '2003-02-19', 'India', True, 'ICC World Cup', 'Unknown')
(51, 'Canada', 'Sri Lanka', '2003-02-19', 'Sri Lanka', False, 'ICC World Cup', 'Unknown')
(52, 'England', 'Namibia', '2003-02-19', 'England', False, 'ICC World Cup', 'Unknown')
(53, 'Bangladesh', 'South Africa', '2003-02-22', 'South Africa', False, 'ICC World Cup', 'Unknown')
(54, 'England', 'Pakistan', '2003-02-22', 'England', False, 'ICC World Cup', 'Unknown')
(55, 'Canada', 'West Indies', '2003-02-23', 'West Indies', False, 'ICC World Cup', 'Unknown')
(56, 'India', 'Namibia', '2003-02-23', 'India', False, 'ICC World Cup', 'Unknown')
(57, 'Kenya', 'Sri Lanka', '2003-02-24', 'Kenya', False, 'ICC World Cup', 'Unknown')
(58, 'Zimbabwe', 'Australia', '2003-02-24', 'Australia', True, 'ICC World Cup', 'Unknown')
(59, 'Pakistan', 'Netherlands', '2003-02-25', 'Pakistan', False, 'ICC World Cup', 'Unknown')
(60, 'Bangladesh', 'New Zealand', '2003-02-26', 'New Zealand', False, 'ICC World Cup', 'Unknown')
(61, 'India', 'England', '2003-02-26', 'India', False, 'ICC World Cup', 'Unknown')
(62, 'Australia', 'Namibia', '2003-02-27', 'Australia', False, 'ICC World Cup', 'Unknown')
(63, 'South Africa', 'Canada', '2003-02-27', 'South Africa', False, 'ICC World Cup', 'Unknown')
(64, 'Zimbabwe', 'Netherlands', '2003-02-28', 'Zimbabwe', False, 'ICC World Cup', 'Unknown')
(65, 'Sri Lanka', 'West Indies', '2003-02-28', 'Sri Lanka', False, 'ICC World Cup', 'Unknown')
(66, 'Kenya', 'Bangladesh', '2003-03-01', 'Kenya', False, 'ICC World Cup', 'Unknown')
(67, 'Pakistan', 'India', '2003-03-01', 'India', False, 'ICC World Cup', 'Unknown')
(68, 'England', 'Australia', '2003-03-02', 'Australia', False, 'ICC World Cup', 'Unknown')
(69, 'Canada', 'New Zealand', '2003-03-03', 'New Zealand', False, 'ICC World Cup', 'Unknown')
(70, 'Netherlands', 'Namibia', '2003-03-03', 'Netherlands', False, 'ICC World Cup', 'Unknown')
(71, 'Sri Lanka', 'South Africa', '2003-03-03', None, False, 'ICC World Cup', 'Unknown')
(72, 'Pakistan', 'Zimbabwe', '2003-03-04', None, False, 'ICC World Cup', 'Unknown')
(73, 'Australia', 'Sri Lanka', '2003-03-07', 'Australia', False, 'ICC World Cup', 'Super Sixes')
(74, 'Kenya', 'India', '2003-03-07', 'India', False, 'ICC World Cup', 'Super Sixes')
(75, 'Zimbabwe', 'New Zealand', '2003-03-08', 'New Zealand', False, 'ICC World Cup', 'Super Sixes')
(76, 'India', 'Sri Lanka', '2003-03-10', 'India', False, 'ICC World Cup', 'Super Sixes')
(77, 'Australia', 'New Zealand', '2003-03-11', 'Australia', False, 'ICC World Cup', 'Super Sixes')
(78, 'Zimbabwe', 'Kenya', '2003-03-12', 'Kenya', False, 'ICC World Cup', 'Super Sixes')
(79, 'New Zealand', 'India', '2003-03-14', 'India', False, 'ICC World Cup', 'Super Sixes')
(80, 'Sri Lanka', 'Zimbabwe', '2003-03-15', 'Sri Lanka', False, 'ICC World Cup', 'Super Sixes')
(81, 'Kenya', 'Australia', '2003-03-15', 'Australia', False, 'ICC World Cup', 'Super Sixes')
(82, 'Australia', 'Sri Lanka', '2003-03-18', 'Australia', False, 'ICC World Cup', 'Semi Final')
(83, 'India', 'Kenya', '2003-03-20', 'India', False, 'ICC World Cup', 'Semi Final')
(84, 'Australia', 'India', '2003-03-23', 'Australia', False, 'ICC World Cup', 'Final')
(85, 'Sri Lanka', 'Australia', '2003-01-09', 'Sri Lanka', True, 'VB Series', 'Unknown')
(86, 'Australia', 'England', '2003-01-11', 'Australia', False, 'VB Series', 'Unknown')
(87, 'Sri Lanka', 'England', '2003-01-13', 'Sri Lanka', False, 'VB Series', 'Unknown')
(88, 'Sri Lanka', 'Australia', '2003-01-15', 'Australia', False, 'VB Series', 'Unknown')
(89, 'England', 'Sri Lanka', '2003-01-17', 'England', False, 'VB Series', 'Unknown')
(90, 'England', 'Australia', '2003-01-19', 'Australia', False, 'VB Series', 'Unknown')
(91, 'Sri Lanka', 'Australia', '2003-01-21', 'Australia', False, 'VB Series', 'Unknown')
(92, 'England', 'Australia', '2003-01-23', 'Australia', False, 'VB Series', 'Final')
(93, 'Australia', 'England', '2003-01-25', 'Australia', False, 'VB Series', 'Final')
(94, 'Pakistan', 'Zimbabwe', '2003-04-03', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(95, 'Sri Lanka', 'Pakistan', '2003-04-04', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(96, 'Kenya', 'Zimbabwe', '2003-04-05', 'Zimbabwe', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(97, 'Sri Lanka', 'Kenya', '2003-04-06', 'Sri Lanka', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(98, 'Sri Lanka', 'Zimbabwe', '2003-04-07', 'Zimbabwe', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(99, 'Pakistan', 'Kenya', '2003-04-08', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(100, 'Zimbabwe', 'Pakistan', '2003-04-10', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Final')
(101, 'England', 'Zimbabwe', '2003-06-26', 'Zimbabwe', True, 'NatWest Series', 'Unknown')
(102, 'South Africa', 'England', '2003-06-28', 'England', False, 'NatWest Series', 'Unknown')
(103, 'South Africa', 'Zimbabwe', '2003-06-29', 'South Africa', False, 'NatWest Series', 'Unknown')
(104, 'England', 'Zimbabwe', '2003-07-01', None, False, 'NatWest Series', 'Unknown')
(105, 'England', 'South Africa', '2003-07-03', 'South Africa', True, 'NatWest Series', 'Unknown')
(106, 'Zimbabwe', 'England', '2003-07-06', 'England', False, 'NatWest Series', 'Unknown')
(107, 'Zimbabwe', 'South Africa', '2003-07-10', 'South Africa', False, 'NatWest Series', 'Unknown')
(108, 'South Africa', 'England', '2003-07-12', 'England', False, 'NatWest Series', 'Final')
(109, 'India', 'South Africa', '2003-04-21', None, False, 'TVS Cup (Bangladesh)', 'Final')
(110, 'Pakistan', 'Sri Lanka', '2003-05-10', 'Pakistan', True, 'Bank Alfalah Cup', 'Unknown')
(111, 'Pakistan', 'New Zealand', '2003-05-11', 'New Zealand', False, 'Bank Alfalah Cup', 'Unknown')
(112, 'New Zealand', 'Sri Lanka', '2003-05-19', 'New Zealand', True, 'Bank Alfalah Cup', 'Unknown')
(113, 'Pakistan', 'New Zealand', '2003-05-23', 'New Zealand', False, 'Bank Alfalah Cup', 'Final')
(114, 'India', 'New Zealand', '2003-10-23', None, False, 'TVS Cup (India)', 'Unknown')
(115, 'India', 'Australia', '2003-10-26', 'India', False, 'TVS Cup (India)', 'Unknown')
(116, 'New Zealand', 'Australia', '2003-10-29', 'Australia', False, 'TVS Cup (India)', 'Unknown')
(117, 'Australia', 'India', '2003-11-01', 'Australia', True, 'TVS Cup (India)', 'Unknown')
(118, 'New Zealand', 'Australia', '2003-11-03', 'Australia', False, 'TVS Cup (India)', 'Unknown')
(119, 'India', 'New Zealand', '2003-11-06', 'New Zealand', True, 'TVS Cup (India)', 'Unknown')
(120, 'India', 'New Zealand', '2003-11-15', 'India', False, 'TVS Cup (India)', 'Unknown')
(121, 'Pakistan', 'New Zealand', '2004-01-03', 'New Zealand', False, 'Pakistan tour of New Zealand', 'Unknown')
(122, 'South Africa', 'West Indies', '2004-01-25', 'South Africa', False, 'West Indies tour of South Africa', 'Unknown')
(123, 'West Indies', 'South Africa', '2004-01-30', None, False, 'West Indies tour of South Africa', 'Unknown')
(124, 'South Africa', 'West Indies', '2004-02-01', 'West Indies', True, 'West Indies tour of South Africa', 'Unknown')
(125, 'Australia', 'Sri Lanka', '2004-02-20', 'Australia', True, 'Australia tour of Sri Lanka', 'Unknown')
(126, 'Sri Lanka', 'Australia', '2004-02-22', 'Sri Lanka', False, 'Australia tour of Sri Lanka', 'Unknown')
