(1, 'Royal Challengers Bengaluru', 'Kolkata Knight Riders', '2008-04-18', 'Kolkata Knight Riders', 'Unknown')
(2, 'Delhi Capitals', 'Rajasthan Royals', '2008-04-19', 'Delhi Capitals', 'Unknown')
(3, 'Kolkata Knight Riders', 'Deccan Chargers', '2008-04-20', 'Kolkata Knight Riders', 'Unknown')
(4, 'Mumbai Indians', 'Royal Challengers Bengaluru', '2008-04-20', 'Royal Challengers Bengaluru', 'Unknown')
(5, 'Deccan Chargers', 'Delhi Capitals', '2008-04-22', 'Delhi Capitals', 'Unknown')
(6, 'Chennai Super Kings', 'Mumbai Indians', '2008-04-23', 'Chennai Super Kings', 'Unknown')
(7, 'Deccan Chargers', 'Rajasthan Royals', '2008-04-24', 'Rajasthan Royals', 'Unknown')
(8, 'Chennai Super Kings', 'Kolkata Knight Riders', '2008-04-26', 'Chennai Super Kings', 'Unknown')
(9, 'Royal Challengers Bengaluru', 'Rajasthan Royals', '2008-04-26', 'Rajasthan Royals', 'Unknown')
(10, 'Mumbai Indians', 'Deccan Chargers', '2008-04-27', 'Deccan Chargers', 'Unknown')
(11, 'Royal Challengers Bengaluru', 'Chennai Super Kings', '2008-04-28', 'Chennai Super Kings', 'Unknown')
(12, 'Kolkata Knight Riders', 'Mumbai Indians', '2008-04-29', 'Mumbai Indians', 'Unknown')
(13, 'Delhi Capitals', 'Royal Challengers Bengaluru', '2008-04-30', 'Delhi Capitals', 'Unknown')
(14, 'Rajasthan Royals', 'Kolkata Knight Riders', '2008-05-01', 'Rajasthan Royals', 'Unknown')
(15, 'Chennai Super Kings', 'Delhi Capitals', '2008-05-02', 'Delhi Capitals', 'Unknown')
(16, 'Royal Challengers Bengaluru', 'Deccan Chargers', '2008-05-03', 'Royal Challengers Bengaluru', 'Unknown')
(17, 'Mumbai Indians', 'Delhi Capitals', '2008-05-04', 'Mumbai Indians', 'Unknown')
(18, 'Chennai Super Kings', 'Deccan Chargers', '2008-05-06', 'Deccan Chargers', 'Unknown')
(19, 'Mumbai Indians', 'Rajasthan Royals', '2008-05-07', 'Mumbai Indians', 'Unknown')
(20, 'Delhi Capitals', 'Chennai Super Kings', '2008-05-08', 'Chennai Super Kings', 'Unknown')
(21, 'Kolkata Knight Riders', 'Royal Challengers Bengaluru', '2008-05-08', 'Kolkata Knight Riders', 'Unknown')
(22, 'Rajasthan Royals', 'Deccan Chargers', '2008-05-09', 'Rajasthan Royals', 'Unknown')
(23, 'Deccan Chargers', 'Kolkata Knight Riders', '2008-05-11', 'Kolkata Knight Riders', 'Unknown')
(24, 'Rajasthan Royals', 'Delhi Capitals', '2008-05-11', 'Rajasthan Royals', 'Unknown')
(25, 'Kolkata Knight Riders', 'Delhi Capitals', '2008-05-13', 'Kolkata Knight Riders', 'Unknown')
(26, 'Mumbai Indians', 'Chennai Super Kings', '2008-05-14', 'Mumbai Indians', 'Unknown')
(27, 'Delhi Capitals', 'Deccan Chargers', '2008-05-15', 'Delhi Capitals', 'Unknown')
(28, 'Mumbai Indians', 'Kolkata Knight Riders', '2008-05-16', 'Mumbai Indians', 'Unknown')
(29, 'Rajasthan Royals', 'Royal Challengers Bengaluru', '2008-05-17', 'Rajasthan Royals', 'Unknown')
(30, 'Kolkata Knight Riders', 'Chennai Super Kings', '2008-05-18', 'Chennai Super Kings', 'Unknown')
(31, 'Royal Challengers Bengaluru', 'Delhi Capitals', '2008-05-19', 'Delhi Capitals', 'Unknown')
(32, 'Kolkata Knight Riders', 'Rajasthan Royals', '2008-05-20', 'Rajasthan Royals', 'Unknown')
(33, 'Chennai Super Kings', 'Royal Challengers Bengaluru', '2008-05-21', 'Royal Challengers Bengaluru', 'Unknown')
(34, 'Delhi Capitals', 'Mumbai Indians', '2008-05-24', 'Delhi Capitals', 'Unknown')
(35, 'Chennai Super Kings', 'Rajasthan Royals', '2008-05-24', 'Rajasthan Royals', 'Unknown')
(36, 'Deccan Chargers', 'Royal Challengers Bengaluru', '2008-05-25', 'Royal Challengers Bengaluru', 'Unknown')
(37, 'Rajasthan Royals', 'Mumbai Indians', '2008-05-26', 'Rajasthan Royals', 'Unknown')
(38, 'Deccan Chargers', 'Chennai Super Kings', '2008-05-27', 'Chennai Super Kings', 'Unknown')
(39, 'Royal Challengers Bengaluru', 'Mumbai Indians', '2008-05-28', 'Mumbai Indians', 'Unknown')
(40, 'Delhi Capitals', 'Rajasthan Royals', '2008-05-30', 'Rajasthan Royals', 'Semi Final')
(41, 'Chennai Super Kings', 'Rajasthan Royals', '2008-06-01', 'Rajasthan Royals', 'Final')
(42, 'Rajasthan Royals', 'Chennai Super Kings', '2008-05-04', 'Rajasthan Royals', 'Unknown')
(43, 'Deccan Chargers', 'Mumbai Indians', '2008-05-18', 'Mumbai Indians', 'Unknown')
(44, 'Royal Challengers Bengaluru', 'Rajasthan Royals', '2009-04-18', 'Royal Challengers Bengaluru', 'Unknown')
(45, 'Chennai Super Kings', 'Mumbai Indians', '2009-04-18', 'Mumbai Indians', 'Unknown')
(46, 'Deccan Chargers', 'Kolkata Knight Riders', '2009-04-19', 'Deccan Chargers', 'Unknown')
(47, 'Royal Challengers Bengaluru', 'Chennai Super Kings', '2009-04-20', 'Chennai Super Kings', 'Unknown')
(48, 'Royal Challengers Bengaluru', 'Deccan Chargers', '2009-04-22', 'Deccan Chargers', 'Unknown')
(49, 'Chennai Super Kings', 'Delhi Capitals', '2009-04-23', 'Delhi Capitals', 'Unknown')
(50, 'Kolkata Knight Riders', 'Rajasthan Royals', '2009-04-23', None, 'Unknown')
(51, 'Deccan Chargers', 'Mumbai Indians', '2009-04-25', 'Deccan Chargers', 'Unknown')
(52, 'Royal Challengers Bengaluru', 'Delhi Capitals', '2009-04-26', 'Delhi Capitals', 'Unknown')
(53, 'Chennai Super Kings', 'Deccan Chargers', '2009-04-27', 'Deccan Chargers', 'Unknown')
(54, 'Kolkata Knight Riders', 'Mumbai Indians', '2009-04-27', 'Mumbai Indians', 'Unknown')
(55, 'Delhi Capitals', 'Rajasthan Royals', '2009-04-28', 'Rajasthan Royals', 'Unknown')
(56, 'Royal Challengers Bengaluru', 'Kolkata Knight Riders', '2009-04-29', 'Royal Challengers Bengaluru', 'Unknown')
