(1, 'New Zealand', 'India', '2002-12-29', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(2, 'Pakistan', 'Bangladesh', '2003-09-21', 'Pakistan', False, 'Bangladesh tour of Pakistan', 'Unknown')
(3, 'South Africa', 'Zimbabwe', '2003-06-29', 'South Africa', False, 'NatWest Series', 'Unknown')
(4, 'Pakistan', 'Namibia', '2003-02-16', 'Pakistan', False, 'ICC World Cup', 'Unknown')
(5, 'Canada', 'Kenya', '2003-02-15', 'Kenya', False, 'ICC World Cup', 'Unknown')
(6, 'Kenya', 'Australia', '2003-03-15', 'Australia', False, 'ICC World Cup', 'Super Sixes')
(7, 'Australia', 'New Zealand', '2003-03-11', 'Australia', False, 'ICC World Cup', 'Super Sixes')
(8, 'South Africa', 'England', '2003-06-28', 'England', False, 'NatWest Series', 'Unknown')
(9, 'England', 'Australia', '2003-01-23', 'Australia', False, 'VB Series', 'Final')
(10, 'Bangladesh', 'England', '2003-11-10', 'England', True, 'England tour of Bangladesh', 'Unknown')
(11, 'Bangladesh', 'Pakistan', '2003-09-18', 'Pakistan', False, 'Bangladesh tour of Pakistan', 'Unknown')
(12, 'Sri Lanka', 'England', '2003-01-13', 'Sri Lanka', False, 'VB Series', 'Unknown')
(13, 'Pakistan', 'South Africa', '2003-10-12', 'South Africa', False, 'South Africa tour of Pakistan', 'Unknown')
(14, 'Sri Lanka', 'Zimbabwe', '2003-04-07', 'Zimbabwe', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(15, 'Sri Lanka', 'Australia', '2003-01-09', 'Sri Lanka', True, 'VB Series', 'Unknown')
(16, 'Pakistan', 'England', '2003-06-22', 'England', False, 'Pakistan tour of England and Scotland', 'Unknown')
(17, 'India', 'Kenya', '2003-03-20', 'India', False, 'ICC World Cup', 'Semi Final')
(18, 'New Zealand', 'Pakistan', '2003-12-05', 'Pakistan', False, 'New Zealand tour of Pakistan', 'Unknown')
(19, 'Pakistan', 'Zimbabwe', '2003-03-04', None, False, 'ICC World Cup', 'Unknown')
(20, 'Bangladesh', 'New Zealand', '2003-02-26', 'New Zealand', False, 'ICC World Cup', 'Unknown')
(21, 'Sri Lanka', 'New Zealand', '2003-02-10', 'Sri Lanka', False, 'ICC World Cup', 'Unknown')
(22, 'Australia', 'England', '2003-01-11', 'Australia', False, 'VB Series', 'Unknown')
(23, 'Pakistan', 'South Africa', '2003-10-05', 'Pakistan', False, 'South Africa tour of Pakistan', 'Unknown')
(24, 'India', 'Netherlands', '2003-02-12', 'India', False, 'ICC World Cup', 'Unknown')
(25, 'England', 'Namibia', '2003-02-19', 'England', False, 'ICC World Cup', 'Unknown')
(26, 'Pakistan', 'South Africa', '2003-10-07', 'South Africa', True, 'South Africa tour of Pakistan', 'Unknown')
(27, 'Kenya', 'Sri Lanka', '2003-02-24', 'Kenya', False, 'ICC World Cup', 'Unknown')
(28, 'Canada', 'Sri Lanka', '2003-02-19', 'Sri Lanka', False, 'ICC World Cup', 'Unknown')
(29, 'England', 'South Africa', '2003-07-03', 'South Africa', True, 'NatWest Series', 'Unknown')
(30, 'England', 'Pakistan', '2003-06-17', 'Pakistan', True, 'Pakistan tour of England and Scotland', 'Unknown')
(31, 'Australia', 'West Indies', '2003-05-17', 'Australia', True, 'Australia tour of West Indies', 'Unknown')
(32, 'India', 'New Zealand', '2003-11-15', 'India', False, 'TVS Cup (India)', 'Unknown')
(33, 'New Zealand', 'Sri Lanka', '2003-05-19', 'New Zealand', True, 'Bank Alfalah Cup', 'Unknown')
(34, 'Zimbabwe', 'West Indies', '2003-11-26', 'Zimbabwe', False, 'West Indies tour of Zimbabwe', 'Unknown')
(35, 'Canada', 'Bangladesh', '2003-02-11', 'Canada', False, 'ICC World Cup', 'Unknown')
(36, 'India', 'England', '2003-02-26', 'India', False, 'ICC World Cup', 'Unknown')
(37, 'India', 'New Zealand', '2003-10-23', None, False, 'TVS Cup (India)', 'Unknown')
(38, 'Zimbabwe', 'England', '2003-07-06', 'England', False, 'NatWest Series', 'Unknown')
(39, 'Bangladesh', 'England', '2003-11-12', 'England', True, 'England tour of Bangladesh', 'Unknown')
(40, 'West Indies', 'Bangladesh', '2003-02-18', None, False, 'ICC World Cup', 'Unknown')
(41, 'England', 'Zimbabwe', '2003-07-01', None, False, 'NatWest Series', 'Unknown')
(42, 'Pakistan', 'Kenya', '2003-04-08', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(43, 'India', 'South Africa', '2003-04-21', None, False, 'TVS Cup (Bangladesh)', 'Final')
(44, 'India', 'Sri Lanka', '2003-03-10', 'India', False, 'ICC World Cup', 'Super Sixes')
(45, 'Sri Lanka', 'Pakistan', '2003-04-04', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(46, 'Australia', 'West Indies', '2003-06-01', 'West Indies', False, 'Australia tour of West Indies', 'Unknown')
(47, 'Kenya', 'South Africa', '2003-02-12', 'South Africa', False, 'ICC World Cup', 'Unknown')
(48, 'Australia', 'Bangladesh', '2003-08-06', 'Australia', False, 'Bangladesh tour of Australia', 'Unknown')
(49, 'England', 'Sri Lanka', '2003-01-17', 'England', False, 'VB Series', 'Unknown')
(50, 'Sri Lanka', 'Australia', '2003-01-21', 'Australia', False, 'VB Series', 'Unknown')
(51, 'England', 'Pakistan', '2003-02-22', 'England', False, 'ICC World Cup', 'Unknown')
(52, 'Pakistan', 'India', '2003-03-01', 'India', False, 'ICC World Cup', 'Unknown')
(53, 'Pakistan', 'Sri Lanka', '2003-05-10', 'Pakistan', True, 'Bank Alfalah Cup', 'Unknown')
(54, 'Australia', 'Namibia', '2003-02-27', 'Australia', False, 'ICC World Cup', 'Unknown')
(55, 'England', 'Australia', '2003-03-02', 'Australia', False, 'ICC World Cup', 'Unknown')
(56, 'Bangladesh', 'England', '2003-11-07', 'England', True, 'England tour of Bangladesh', 'Unknown')
(57, 'West Indies', 'Zimbabwe', '2003-11-29', 'West Indies', True, 'West Indies tour of Zimbabwe', 'Unknown')
(58, 'Pakistan', 'South Africa', '2003-10-03', 'Pakistan', False, 'South Africa tour of Pakistan', 'Unknown')
(59, 'Canada', 'New Zealand', '2003-03-03', 'New Zealand', False, 'ICC World Cup', 'Unknown')
(60, 'Sri Lanka', 'West Indies', '2003-06-11', 'West Indies', False, 'Sri Lanka tour of West Indies', 'Unknown')
(61, 'India', 'New Zealand', '2003-01-04', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(62, 'South Africa', 'Canada', '2003-02-27', 'South Africa', False, 'ICC World Cup', 'Unknown')
(63, 'Australia', 'West Indies', '2003-05-30', 'West Indies', False, 'Australia tour of West Indies', 'Unknown')
(64, 'West Indies', 'South Africa', '2003-02-09', 'West Indies', True, 'ICC World Cup', 'Unknown')
(65, 'Pakistan', 'New Zealand', '2003-05-11', 'New Zealand', False, 'Bank Alfalah Cup', 'Unknown')
(66, 'Zimbabwe', 'Namibia', '2003-02-10', 'Zimbabwe', False, 'ICC World Cup', 'Unknown')
(67, 'Pakistan', 'New Zealand', '2003-05-23', 'New Zealand', False, 'Bank Alfalah Cup', 'Final')
(68, 'England', 'Zimbabwe', '2003-06-26', 'Zimbabwe', True, 'NatWest Series', 'Unknown')
(69, 'New Zealand', 'India', '2003-03-14', 'India', False, 'ICC World Cup', 'Super Sixes')
(70, 'India', 'Namibia', '2003-02-23', 'India', False, 'ICC World Cup', 'Unknown')
(71, 'Kenya', 'Bangladesh', '2003-03-01', 'Kenya', False, 'ICC World Cup', 'Unknown')
(72, 'Australia', 'Pakistan', '2003-02-11', 'Australia', False, 'ICC World Cup', 'Unknown')
(73, 'South Africa', 'New Zealand', '2003-02-16', 'New Zealand', True, 'ICC World Cup', 'Unknown')
(74, 'Zimbabwe', 'Pakistan', '2003-04-10', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Final')
(75, 'Pakistan', 'Netherlands', '2003-02-25', 'Pakistan', False, 'ICC World Cup', 'Unknown')
(76, 'Kenya', 'Zimbabwe', '2003-04-05', 'Zimbabwe', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(77, 'South Africa', 'England', '2003-07-12', 'England', False, 'NatWest Series', 'Final')
(78, 'New Zealand', 'Pakistan', '2003-11-29', 'Pakistan', False, 'New Zealand tour of Pakistan', 'Unknown')
(79, 'Australia', 'Sri Lanka', '2003-03-18', 'Australia', False, 'ICC World Cup', 'Semi Final')
(80, 'India', 'Zimbabwe', '2003-02-19', 'India', True, 'ICC World Cup', 'Unknown')
(81, 'Sri Lanka', 'Australia', '2003-01-15', 'Australia', False, 'VB Series', 'Unknown')
(82, 'Canada', 'West Indies', '2003-02-23', 'West Indies', False, 'ICC World Cup', 'Unknown')
(83, 'Australia', 'India', '2003-03-23', 'Australia', False, 'ICC World Cup', 'Final')
(84, 'Sri Lanka', 'Zimbabwe', '2003-03-15', 'Sri Lanka', False, 'ICC World Cup', 'Super Sixes')
(85, 'Zimbabwe', 'New Zealand', '2003-03-08', 'New Zealand', False, 'ICC World Cup', 'Super Sixes')
(86, 'India', 'New Zealand', '2003-01-14', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(87, 'India', 'New Zealand', '2003-01-01', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(88, 'Kenya', 'India', '2003-03-07', 'India', False, 'ICC World Cup', 'Super Sixes')
(89, 'Pakistan', 'Zimbabwe', '2003-04-03', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(90, 'Pakistan', 'Bangladesh', '2003-09-09', 'Pakistan', False, 'Bangladesh tour of Pakistan', 'Unknown')
(91, 'Bangladesh', 'Australia', '2003-08-03', 'Australia', False, 'Bangladesh tour of Australia', 'Unknown')
(92, 'West Indies', 'Zimbabwe', '2003-11-23', 'Zimbabwe', False, 'West Indies tour of Zimbabwe', 'Unknown')
(93, 'Pakistan', 'New Zealand', '2003-12-01', 'Pakistan', False, 'New Zealand tour of Pakistan', 'Unknown')
(94, 'Sri Lanka', 'Kenya', '2003-04-06', 'Sri Lanka', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(95, 'India', 'New Zealand', '2003-11-06', 'New Zealand', True, 'TVS Cup (India)', 'Unknown')
(96, 'Zimbabwe', 'Netherlands', '2003-02-28', 'Zimbabwe', False, 'ICC World Cup', 'Unknown')
(97, 'Zimbabwe', 'South Africa', '2003-07-10', 'South Africa', False, 'NatWest Series', 'Unknown')
(98, 'Bangladesh', 'Australia', '2003-08-02', 'Australia', False, 'Bangladesh tour of Australia', 'Unknown')
(99, 'Zimbabwe', 'West Indies', '2003-11-30', 'West Indies', True, 'West Indies tour of Zimbabwe', 'Unknown')
